<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2012-09-19,1045,1039,2,19,0,0,1085.71,1118.57
2012-09-22,1039,1050,5,22,1,0,1074.29,1114.73
2012-09-23,1050,1048,6,23,1,0,1062.14,1110.97
2012-09-24,1048,1048,0,24,0,1,1052.86,1107.43
2012-09-25,1048,1070,1,25,0,0,1049.14,1104.03
2012-09-26,1070,1062,2,26,0,0,1047.00,1100.77
2012-09-29,1062,1080,5,29,1,0,1049.86,1098.37
2012-09-30,1080,1052,6,30,1,0,1051.71,1095.90
2012-10-01,1052,1060,0,1,0,1,1056.71,1094.23
2012-10-02,1060,1055,1,2,0,0,1058.57,1092.43
2012-10-03,1055,1050,2,3,0,0,1060.00,1090.93
2012-10-06,1050,1046,5,6,1,0,1061.00,1089.27
2012-10-07,1046,1047,6,7,1,0,1061.29,1087.43
2012-10-08,1047,1046,0,8,0,1,1057.86,1085.50
2012-10-09,1046,1044,1,9,0,0,1055.71,1083.07
2012-10-10,1044,1041,2,10,0,0,1050.86,1079.93
2012-10-13,1041,1038,5,13,1,0,1049.71,1077.07
2012-10-14,1038,1040,6,14,1,0,1047.00,1074.40
2012-10-15,1040,1039,0,15,0,1,1044.57,1071.37
2012-10-16,1039,1032,1,16,0,0,1043.14,1068.43
2012-10-17,1032,1030,2,17,0,0,1042.14,1065.63
2012-10-20,1030,1030,5,20,1,0,1040.00,1062.70
2012-10-21,1030,1015,6,21,1,0,1037.71,1059.70
2012-10-22,1015,1010,0,22,0,1,1035.71,1056.40
2012-10-23,1010,1008,1,23,0,0,1032.00,1052.73
2012-10-24,1008,1025,2,24,0,0,1028.00,1048.93
2012-10-27,1025,1025,5,27,1,0,1023.43,1045.37
2012-10-28,1025,1024,6,28,1,0,1021.43,1043.73
2012-10-29,1024,1020,0,29,0,1,1020.43,1042.47
2012-10-30,1020,1028,1,30,0,0,1019.57,1041.60
2012-10-31,1028,1030,2,31,0,0,1018.14,1040.63
2012-11-04,1030,1029,6,4,1,0,1020.00,1040.07
2012-11-05,1029,1023,0,5,0,1,1022.86,1039.77
2012-11-06,1023,1022,1,6,0,0,1025.86,1039.07
2012-11-07,1022,1019,2,7,0,0,1025.57,1038.23
2012-11-10,1019,1019,5,10,1,0,1025.14,1037.37
2012-11-11,1019,1025,6,11,1,0,1024.43,1035.67
2012-11-12,1025,1030,0,12,0,1,1024.29,1034.23
2012-11-13,1030,1018,1,13,0,0,1023.86,1032.40
2012-11-14,1018,1019,2,14,0,0,1023.86,1031.67
2012-11-17,1019,1020,5,17,1,0,1022.29,1030.27
2012-11-18,1020,1019,6,18,1,0,1021.71,1029.07
2012-11-19,1019,1020,0,19,0,1,1021.43,1028.07
2012-11-20,1020,1018,1,20,0,0,1021.43,1027.17
2012-11-21,1018,1018,2,21,0,0,1021.57,1026.27
2012-11-26,1018,1010,0,26,0,1,1020.57,1025.33
2012-11-27,1010,1010,1,27,0,0,1018.86,1024.47
2012-11-28,1010,1010,2,28,0,0,1017.71,1023.43
2012-12-01,1010,1010,5,1,1,0,1016.43,1022.50
2012-12-02,1010,1017,6,2,1,0,1015.00,1021.50
2012-12-03,1017,1010,0,3,0,1,1013.71,1020.53
2012-12-04,1010,1005,1,4,0,0,1013.29,1020.03
2012-12-05,1005,1000,2,5,0,0,1012.14,1019.37
2012-12-08,1000,1000,5,8,1,0,1010.29,1018.53
2012-12-09,1000,1000,6,9,1,0,1008.86,1018.03
2012-12-10,1000,1009,0,10,0,1,1007.43,1017.70
2012-12-11,1009,1010,1,11,0,0,1006.00,1017.43
2012-12-12,1010,1017,2,12,0,0,1005.86,1016.90
2012-12-15,1017,1018,5,15,1,0,1004.86,1016.40
2012-12-16,1018,1009,6,16,1,0,1005.86,1016.17
2012-12-17,1009,1008,0,17,0,1,1007.71,1016.10
2012-12-18,1008,1007,1,18,0,0,1009.00,1015.47
2012-12-19,1007,1006,2,19,0,0,1010.14,1014.73
2012-12-22,1006,1007,5,22,1,0,1011.14,1014.00
2012-12-23,1007,1006,6,23,1,0,1010.71,1013.43
2012-12-24,1006,1005,0,24,0,1,1010.29,1012.93
2012-12-25,1005,1006,1,25,0,0,1008.71,1012.50
2012-12-26,1006,1040,2,26,0,0,1006.86,1012.03
2012-12-29,1040,1081,5,29,1,0,1006.43,1011.40
2012-12-30,1081,1124,6,30,1,0,1011.00,1011.73
2012-12-31,1124,1119,0,31,0,1,1021.57,1013.83
